date,total_pnl,close_trades,traders,volume,avg_roi,short_share,classification,value,prev_classification,transition
2023-12-14,-205.43473700000007,6,1,76736.39,-0.003798190763310495,0.6666666666666666,Greed,72,,Start -> Greed
2023-12-15,-24.632033999999997,2,1,10609.95,-0.0023215977701318983,0.0,Greed,70,Greed,Greed -> Greed
2023-12-17,304.982785,11,1,65965.81,0.005164576723352136,1.0,Greed,73,Greed,Greed -> Greed
2023-12-19,1000.5386120000001,10,1,61883.49,0.011487622521031849,1.0,Greed,73,Greed,Greed -> Greed
2023-12-20,162.732282,8,1,70899.75,0.0027030900304414653,1.0,Greed,74,Greed,Greed -> Greed
2023-12-21,537.211402,27,1,62885.57,0.008470577857818089,1.0,Greed,70,Greed,Greed -> Greed
2023-12-22,141.832675,2,1,29678.96,0.004797835854681066,1.0,Greed,74,Greed,Greed -> Greed
2023-12-23,146.936704,8,1,54121.63,0.0028499474222287158,1.0,Greed,70,Greed,Greed -> Greed
2023-12-24,1008.619956,17,1,201977.83000000002,0.01039538023011123,0.8235294117647058,Greed,71,Greed,Greed -> Greed
2023-12-25,-245.081348,1,1,29851.65,-0.008209976600958405,1.0,Greed,73,Greed,Greed -> Greed
2023-12-27,-704.8892269999999,13,1,85353.04000000001,-0.007293485247889078,1.0,Greed,73,Greed,Greed -> Greed
2023-12-28,-970.730876,13,1,49573.24,-0.02052413199154279,1.0,Greed,73,Greed,Greed -> Greed
2023-12-29,508.92214299999995,20,1,260094.44,0.003067133809702986,0.65,Greed,65,Greed,Greed -> Greed
2023-12-30,354.998648,33,1,376806.2,0.003231082336129158,0.7272727272727273,Greed,68,Greed,Greed -> Greed
2024-01-01,-129.53146,6,1,131773.19,-0.0040627626046967295,0.8333333333333334,Greed,65,Greed,Greed -> Greed
2024-01-02,783.979116,9,1,60282.32000000001,0.11032374497644483,0.0,Greed,71,Greed,Greed -> Greed
2024-01-03,866.015507,35,1,197682.46,0.00458972603770749,1.0,Greed,70,Greed,Greed -> Greed
2024-01-04,-67.60364,3,1,49862.47,-0.0013415016741680594,1.0,Greed,68,Greed,Greed -> Greed
2024-01-05,164.141565,23,1,852142.31,0.0003194803601454704,0.7391304347826086,Greed,72,Greed,Greed -> Greed
2024-01-06,135.58166400000002,12,1,149457.71,0.001991687556034158,0.8333333333333334,Greed,70,Greed,Greed -> Greed
2024-01-07,-835.681235,37,1,450784.62,-0.0038432713419092653,0.8648648648648649,Greed,71,Greed,Greed -> Greed
2024-01-08,-269.874439,67,1,833741.07,-0.002133774608573198,0.8059701492537313,Greed,71,Greed,Greed -> Greed
2024-01-09,-826.349863,28,1,385065.17,-0.0044284607544018365,0.8928571428571429,Extreme Greed,76,Greed,Greed -> Extreme Greed
2024-01-10,-1517.091342,83,1,1080072.8,0.002544767889032967,0.5662650602409639,Greed,73,Extreme Greed,Extreme Greed -> Greed
2024-01-11,-164.08950099999998,9,1,129207.69,-0.0012725474563500415,0.4444444444444444,Extreme Greed,76,Greed,Greed -> Extreme Greed
2024-01-12,-1925.519024,2,1,98078.63,-0.019916700903569003,1.0,Greed,71,Extreme Greed,Extreme Greed -> Greed
2024-01-15,152.85358,9,1,629.86,0.24271381627687363,1.0,Neutral,52,Greed,Greed -> Neutral
2024-01-16,-2299.171458,5,2,95840.25,-0.01145252499929362,1.0,Greed,64,Neutral,Neutral -> Greed
2024-01-17,813.2741110000001,19,1,400854.83,0.0016375051062024193,0.42105263157894735,Greed,60,Greed,Greed -> Greed
2024-01-18,68.93319,9,1,199610.48,-0.0003157185818177442,0.6666666666666666,Greed,63,Greed,Greed -> Greed
2024-01-19,-385.419235,27,2,225667.81,-0.0012706951442697013,0.48148148148148145,Neutral,51,Greed,Greed -> Neutral
2024-01-20,-146.57487000000003,32,1,505258.83999999997,0.0027755424521425528,0.53125,Neutral,52,Neutral,Neutral -> Neutral
2024-01-21,266.58114600000005,5,1,3130.1,0.004445803806939907,0.6,Greed,56,Neutral,Neutral -> Greed
2024-01-22,1375.640959,41,2,132543.34,0.013742423480514068,0.4878048780487805,Greed,55,Greed,Greed -> Greed
2024-01-23,-369.2447299999998,20,1,201970.69,0.03673827522388496,0.35,Neutral,50,Greed,Greed -> Neutral
2024-01-24,-2808.353815,40,1,562612.83,-0.00826626713034178,0.675,Neutral,48,Neutral,Neutral -> Neutral
2024-01-25,-3093.6293849999997,6,1,66566.13,-0.04647121389080316,1.0,Neutral,52,Neutral,Neutral -> Neutral
2024-01-26,90.2,1,1,4673.0,0.01930237534774235,1.0,Neutral,49,Neutral,Neutral -> Neutral
2024-01-28,-2478.06972,11,1,18109.03,-0.13684163700306742,1.0,Neutral,54,Neutral,Neutral -> Neutral
2024-01-29,486.562542,45,2,206933.4,0.027464785878681605,0.7777777777777778,Greed,55,Neutral,Neutral -> Greed
2024-01-30,-173.65419100000003,19,1,200994.94,-0.0038330125522254895,0.2631578947368421,Greed,61,Greed,Greed -> Greed
2024-01-31,-799.840817,436,1,3156879.95,0.0010316831795873914,0.43119266055045874,Greed,60,Greed,Greed -> Greed
2024-02-02,456.423473,21,1,238330.11,0.04444628804593454,0.7142857142857143,Greed,63,Greed,Greed -> Greed
2024-02-03,223.30918699999998,12,1,200879.81,0.0002101274419555614,0.5,Greed,60,Greed,Greed -> Greed
2024-02-04,47.62389499999999,28,1,202187.55,-0.013872239996057878,0.5714285714285714,Greed,60,Greed,Greed -> Greed
2024-02-05,-33.45419400000003,32,1,385192.73,-0.0014193174578070384,0.71875,Greed,60,Greed,Greed -> Greed
2024-02-06,-215.615907,523,1,4195712.78,-0.00027178448631796524,0.5124282982791587,Greed,64,Greed,Greed -> Greed
2024-02-07,241.24212,2,1,1758.75,0.13620809160486366,0.0,Greed,62,Greed,Greed -> Greed
2024-02-08,770.756024,4,1,13051.52,0.054691968000842514,0.75,Greed,66,Greed,Greed -> Greed
2024-02-11,983.443176,7,1,11101.050000000001,0.10790370617954206,0.42857142857142855,Greed,71,Greed,Greed -> Greed
2024-02-12,913.8817869999998,15,1,217247.8,-0.004964701692675751,0.26666666666666666,Greed,70,Greed,Greed -> Greed
2024-02-13,559.44389,14,1,1999.99,0.2817649608436004,1.0,Extreme Greed,79,Greed,Greed -> Extreme Greed
2024-02-14,3830.599833,84,2,112259.96,0.03469774526297674,0.7380952380952381,Greed,74,Extreme Greed,Extreme Greed -> Greed
2024-02-15,1840.797677,60,2,146456.72,0.03310994376521962,0.13333333333333333,Greed,72,Greed,Greed -> Greed
2024-02-16,5491.768834,146,1,231033.08,0.018016135080522442,0.3150684931506849,Greed,72,Greed,Greed -> Greed
2024-02-17,1929.6418,65,2,254045.03,0.011260840935221124,0.6461538461538462,Extreme Greed,76,Greed,Greed -> Extreme Greed
2024-02-18,477.6248299999999,68,1,78292.06,0.0226177875676221,0.8235294117647058,Greed,72,Extreme Greed,Extreme Greed -> Greed
2024-02-19,4317.768563,79,2,155852.61,0.03514917310461894,0.6075949367088608,Extreme Greed,75,Greed,Greed -> Extreme Greed
2024-02-20,3263.628824,32,2,61558.26,0.05809808845327983,0.75,Greed,72,Extreme Greed,Extreme Greed -> Greed
2024-02-21,1858.7985700000002,15,1,49950.35,0.036361120278442745,1.0,Extreme Greed,78,Greed,Greed -> Extreme Greed
2024-02-22,3894.1050699999996,54,1,211464.85,0.017484197703597524,0.9814814814814815,Greed,74,Extreme Greed,Extreme Greed -> Greed
2024-02-23,1418.55293,138,1,55112.47,0.024697700547561256,0.06521739130434782,Extreme Greed,76,Greed,Greed -> Extreme Greed
2024-02-25,-30.7705,2,1,2255.4500000000003,-0.01364272113913169,0.0,Greed,74,Extreme Greed,Extreme Greed -> Greed
2024-02-26,4416.8473,34,1,94129.97,0.04577664384678404,0.23529411764705882,Greed,72,Greed,Greed -> Greed
2024-02-27,888.511733,42,2,96764.54000000001,0.049310991250199984,0.47619047619047616,Extreme Greed,79,Greed,Greed -> Extreme Greed
2024-02-28,2503.747235,39,1,85496.98,0.028580956811122445,0.2564102564102564,Extreme Greed,82,Extreme Greed,Extreme Greed -> Extreme Greed
2024-02-29,9813.996992,100,2,225165.67,0.046217742028117535,0.42,Extreme Greed,80,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-01,8244.241409,128,1,239133.96,0.03485540320289059,0.7734375,Extreme Greed,80,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-02,230.90060000000005,28,2,32263.39,-0.08238544196408977,0.03571428571428571,Extreme Greed,80,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-03,8361.086245,54,1,196228.73,0.04501716300747858,0.7222222222222222,Extreme Greed,83,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-04,27799.775742,270,2,786208.12,0.04488613535082344,0.4777777777777778,Extreme Greed,82,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-05,19791.026041,163,1,427738.58999999997,0.04394778212620027,0.7361963190184049,Extreme Greed,90,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-06,6814.825139,72,1,164239.19,0.04326374446668761,0.3611111111111111,Extreme Greed,75,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-08,4271.886236,59,1,93193.27,0.05304370953461569,0.7457627118644068,Extreme Greed,81,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-09,9949.501624,107,1,325619.12,0.02708574605147797,0.2336448598130841,Extreme Greed,84,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-10,2482.9272,38,1,108745.45,0.0309270489909383,0.0,Extreme Greed,79,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-11,3588.179495,39,1,88033.35,0.04467605929354847,0.717948717948718,Extreme Greed,82,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-12,3039.166,7,1,53040.009999999995,0.05729930804100503,1.0,Extreme Greed,81,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-14,3465.865832,16,2,107699.86,0.032309924057948684,1.0,Extreme Greed,88,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-15,6236.513651,41,3,169419.4,0.047568860336217336,0.6585365853658537,Extreme Greed,83,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-16,228.57984,1,1,6223.28,0.03672980164800555,1.0,Extreme Greed,81,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-17,503.293955,10,2,56680.36,0.021315226991238497,0.4,Extreme Greed,79,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-18,1456.9577,6,2,31457.649999999998,0.04622390436983089,1.0,Extreme Greed,77,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-19,668.797973,7,2,99900.65999999999,0.011889785248841192,0.2857142857142857,Extreme Greed,79,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-20,6423.134599,60,2,115955.46,0.03660345797503651,0.6333333333333333,Greed,74,Extreme Greed,Extreme Greed -> Greed
2024-03-21,2335.5080749999997,23,2,53146.26,0.04385107903867204,0.043478260869565216,Extreme Greed,78,Greed,Greed -> Extreme Greed
2024-03-24,1297.018477,15,1,45647.57,0.03021276250874713,0.0,Greed,74,Extreme Greed,Extreme Greed -> Greed
2024-03-25,1302.916428,6,1,54116.47,0.024083528533230644,1.0,Extreme Greed,75,Greed,Greed -> Extreme Greed
2024-03-26,3215.906593,110,2,94867.11,0.03716312692811815,0.990909090909091,Extreme Greed,81,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-27,150.41114,19,2,42470.81,0.002560277486694501,0.631578947368421,Extreme Greed,83,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-28,227.85100799999998,9,1,7540.98,0.030226637708650497,0.0,Extreme Greed,80,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-29,883.097404,6,1,53912.9,0.015110256278231865,1.0,Extreme Greed,79,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-30,1100.57514,44,1,51102.26,0.021532370406615042,1.0,Extreme Greed,75,Extreme Greed,Extreme Greed -> Extreme Greed
2024-03-31,912.786145,10,1,30914.19,0.029535442342299423,1.0,Extreme Greed,75,Extreme Greed,Extreme Greed -> Extreme Greed
2024-04-01,2507.963406,43,2,121978.45,0.02967694656713394,0.9069767441860465,Extreme Greed,79,Extreme Greed,Extreme Greed -> Extreme Greed
2024-04-02,883.760812,12,1,134674.12,0.010437229889805595,0.75,Extreme Greed,79,Extreme Greed,Extreme Greed -> Extreme Greed
2024-04-03,126.7884,1,1,3507.35,0.036149343521462075,1.0,Greed,71,Extreme Greed,Extreme Greed -> Greed
2024-04-05,10706.484306,90,3,335794.58999999997,0.025275679687685366,0.9222222222222223,Extreme Greed,79,Greed,Greed -> Extreme Greed
2024-04-06,236.33513399999998,4,1,18234.120000000003,0.01298747702148627,1.0,Extreme Greed,75,Extreme Greed,Extreme Greed -> Extreme Greed
2024-04-08,1218.4267,1,1,23777.92,0.05124193789868921,0.0,Extreme Greed,76,Extreme Greed,Extreme Greed -> Extreme Greed
2024-04-10,5207.443414,36,1,327737.64999999997,0.0158868985703188,0.027777777777777776,Extreme Greed,78,Extreme Greed,Extreme Greed -> Extreme Greed
2024-04-11,389.743164,2,1,24393.64,0.015977243891294585,1.0,Extreme Greed,76,Extreme Greed,Extreme Greed -> Extreme Greed
2024-04-12,-592.6458390000001,101,2,162372.44,0.010566732664238142,0.8514851485148515,Extreme Greed,79,Extreme Greed,Extreme Greed -> Extreme Greed
2024-04-13,6621.451755,61,1,165060.81,0.04898217647848129,0.639344262295082,Greed,72,Extreme Greed,Extreme Greed -> Greed
2024-04-14,-36104.012520000004,74,2,368513.22,-0.051538528127809805,0.7297297297297297,Greed,72,Greed,Greed -> Greed
2024-04-15,3774.08872,35,1,121097.51,0.03169821822064264,0.6285714285714286,Greed,74,Greed,Greed -> Greed
2024-04-16,2467.702221,43,1,90135.48,0.02885712756257488,0.3023255813953488,Greed,65,Greed,Greed -> Greed
2024-04-17,2441.4683999999997,13,1,47560.770000000004,0.05165370825658067,0.0,Greed,67,Greed,Greed -> Greed
2024-04-19,1946.4454620000001,27,1,301255.07,0.006685211973378447,1.0,Greed,66,Greed,Greed -> Greed
2024-04-23,1119.536196,35,2,148340.09,0.018678415753570453,0.5142857142857142,Greed,71,Greed,Greed -> Greed
2024-04-24,279.185907,7,1,48275.33,0.008180430331077817,1.0,Greed,72,Greed,Greed -> Greed
2024-04-27,4281.488139,19,1,136261.81,0.03142844753897615,1.0,Greed,67,Greed,Greed -> Greed
2024-04-29,526.9338359999999,17,1,59471.380000000005,0.008860245499152935,0.0,Greed,67,Greed,Greed -> Greed
2024-05-03,5306.017045,19,2,247543.41999999998,0.009187136834600792,0.8947368421052632,Neutral,48,Greed,Greed -> Neutral
2024-05-05,0.916,1,1,40.69,0.022511673629884495,0.0,Greed,69,Neutral,Neutral -> Greed
2024-05-06,968.59038,4,1,134018.34,0.007218029306950199,0.0,Greed,71,Greed,Greed -> Greed
2024-05-07,883.537693,9,2,67672.83,0.02045973030076493,0.4444444444444444,Greed,68,Greed,Greed -> Greed
2024-05-08,1.56576,2,1,89.53,0.021308643771391203,0.5,Greed,64,Greed,Greed -> Greed
2024-05-09,1147.595856,11,1,135983.79,0.008439222699030842,1.0,Greed,55,Greed,Greed -> Greed
